date,close,Mkt-RF,SMB,HML,RMW,CMA
2018-11-27,8.29,0.11,-1.05,0.29,0.6,0.11
2018-11-28,8.7,2.42,0.32,-1.27,0.12,-0.94
2018-11-29,8.91,-0.22,-0.21,-0.18,-0.4,0.03
2018-11-30,9.15,0.78,-0.38,-0.38,0.25,-0.24
2018-12-03,10.17,1.13,-0.12,-0.7,-0.3,-0.58
2018-12-04,10.74,-3.45,-1.04,-0.1,-0.16,0.91
2018-12-06,10.45,-0.16,-0.07,-1.0,0.15,-0.3
2018-12-07,12.72,-2.36,0.27,1.29,-0.5,0.61
2018-12-10,12.88,0.1,-0.42,-1.57,0.33,-0.3
2018-12-11,12.82,-0.08,-0.17,-0.34,0.13,-0.07
2018-12-12,11.92,0.68,0.49,-0.13,-0.23,-0.11
2018-12-13,11.38,-0.26,-1.54,-0.17,0.18,0.03
2018-12-14,11.28,-1.89,0.07,0.6,-0.24,0.6
2018-12-17,11.13,-2.13,-0.13,0.99,0.28,0.22
2018-12-18,11.54,-0.03,-0.06,-0.56,0.92,-0.48
2018-12-19,11.17,-1.58,-0.61,0.18,-0.37,0.42
2018-12-20,11.13,-1.62,-0.12,0.78,0.57,-0.06
2018-12-21,10.21,-2.17,-0.54,0.83,0.11,0.66
2018-12-24,10.1,-2.55,0.9,-0.45,-0.39,-0.36
2018-12-26,10.18,5.06,-0.16,-1.07,-0.18,-1.07
2018-12-27,10.32,0.78,-0.71,-0.09,-0.12,0.1
2018-12-28,10.42,-0.03,0.73,0.24,-0.35,-0.07
2018-12-31,10.39,0.9,-0.13,-0.47,-0.08,-0.12
2019-01-02,11.31,0.23,0.73,1.15,-0.13,0.26
2019-01-03,11.54,-2.45,0.52,1.23,-0.25,0.91
2019-01-04,11.78,3.55,0.39,-0.74,-0.09,-0.58
2019-01-07,12.4,0.94,0.82,-0.67,-0.7,-0.41
2019-01-08,12.36,1.01,0.44,-0.53,0.35,-0.09
2019-01-09,12.98,0.56,0.51,-0.04,0.09,-0.18
2019-01-10,13.06,0.42,-0.02,-0.41,-0.07,-0.04
2019-01-11,13.67,-0.01,0.2,0.29,0.23,0.25
2019-01-14,13.76,-0.6,-0.46,0.88,0.19,0.0
2019-01-15,13.05,1.06,-0.13,-0.88,-0.3,-0.57
2019-01-16,13.42,0.28,0.27,0.83,-0.12,-0.25
2019-01-17,13.66,0.75,0.08,-0.19,0.08,-0.01
2019-01-18,14.9,1.29,-0.27,0.11,0.18,-0.25
2019-01-22,15.07,-1.53,-0.35,0.3,0.25,0.33
2019-01-23,14.72,0.15,-0.42,-0.13,0.36,0.28
2019-01-24,15.7,0.23,0.48,-0.1,-0.09,-0.2
2019-01-25,16.02,0.9,0.41,-0.37,-0.37,-0.57
2019-01-28,18.48,-0.8,-0.08,0.65,0.29,0.18
2019-01-29,18.15,-0.19,0.02,0.17,0.02,0.49
2019-01-30,18.43,1.51,-0.31,-1.06,-0.2,-0.88
2019-01-31,19.68,0.92,-0.04,-1.08,-0.35,-0.02
2019-02-01,20.81,0.14,-0.16,0.34,-0.75,0.3
2019-02-04,23.25,0.72,0.42,-0.57,0.21,-0.21
2019-02-05,21.83,0.43,-0.13,-0.56,0.59,-0.34
2019-02-06,19.65,-0.22,-0.02,0.01,-0.06,0.06
2019-02-07,21.42,-0.93,-0.14,0.41,0.55,0.3
2019-02-08,19.55,0.09,-0.08,-0.67,-0.33,-0.11
2019-02-11,19.44,0.14,0.66,0.2,-0.09,-0.02
2019-02-12,19.67,1.36,0.05,-0.24,-0.08,-0.24
2019-02-13,20.45,0.28,0.08,0.05,0.11,0.2
2019-02-14,20.82,-0.21,0.52,-0.55,0.38,-0.16
2019-02-15,21.29,1.13,0.37,0.53,-0.21,0.02
2019-02-19,21.61,0.19,0.3,0.32,-0.01,0.22
2019-02-20,22.23,0.19,0.3,0.59,0.02,-0.25
2019-02-21,22.47,-0.37,-0.03,-0.25,0.6,0.1
2019-02-22,21.92,0.65,0.38,-1.37,0.32,-0.62
2019-02-25,20.25,0.15,-0.23,-0.2,-0.77,-0.51
2019-02-26,21.64,-0.16,-0.68,-0.3,0.08,-0.15
2019-02-27,21.33,0.09,0.16,-0.15,-0.65,-0.11
2019-02-28,21.64,-0.31,-0.03,-0.28,0.3,0.15
2019-03-01,21.71,0.72,0.26,-0.48,-0.34,-0.19
2019-03-04,21.46,-0.52,-0.39,0.32,0.12,-0.08
2019-03-05,23.7,-0.17,-0.33,-0.22,0.27,-0.03
2019-03-06,22.79,-0.84,-1.24,0.09,0.54,0.12
2019-03-07,22.31,-0.82,-0.05,-0.27,-0.35,0.14
2019-03-08,21.74,-0.22,0.06,-0.13,-0.09,-0.28
2019-03-11,20.92,1.49,0.26,-0.49,-0.29,-0.46
2019-03-12,21.37,0.25,-0.31,-0.04,-0.42,0.01
