date,close,Mkt-RF,SMB,HML,RMW,CMA
2016-04-18,16.77,0.65,0.13,-0.19,-0.16,-0.04
2016-04-19,16.3,0.29,-0.17,1.49,-0.24,0.37
2016-04-20,16.58,0.15,-0.01,0.53,-0.31,-0.12
2016-04-21,17.16,-0.47,-0.01,-0.59,-0.61,-0.34
2016-04-22,17.81,0.12,1.03,0.49,-0.09,0.96
2016-04-25,17.55,-0.24,-0.65,-0.18,0.07,-0.16
2016-04-26,17.21,0.29,0.82,0.78,0.33,0.61
2016-04-27,17.08,0.21,0.23,0.68,-0.19,0.79
2016-04-28,17.17,-0.96,-0.2,0.05,-0.48,0.56
2016-04-29,17.16,-0.5,-0.2,0.38,0.06,-0.24
2016-05-02,16.87,0.78,-0.04,-0.36,0.0,-0.09
2016-05-03,16.54,-1.05,-0.73,-0.5,0.54,0.03
2016-05-04,15.9,-0.66,-0.16,0.06,0.45,0.29
2016-05-05,15.63,-0.08,-0.53,0.09,0.1,0.02
2016-05-06,15.12,0.38,0.08,0.24,0.17,0.25
2016-05-09,15.92,0.05,0.19,-1.49,0.1,-0.5
2016-05-10,16.25,1.26,-0.38,0.47,-0.11,0.05
2016-05-11,16.18,-0.89,-0.33,0.78,-0.44,0.0
2016-05-12,16.27,-0.11,-0.59,0.14,0.38,0.12
2016-05-13,17.28,-0.82,0.28,-0.66,-0.55,-0.17
2016-05-16,17.67,0.99,0.2,-0.24,-0.05,-0.31
2016-05-17,17.75,-0.95,-0.68,0.61,-0.12,-0.1
2016-05-18,17.41,0.1,0.14,0.83,-1.34,-0.65
2016-05-19,17.57,-0.33,-0.31,-0.3,0.39,-0.01
2016-05-20,17.97,0.75,0.84,-0.3,-0.39,-0.38
2016-05-23,18.41,-0.18,0.24,-0.32,-0.21,0.08
2016-05-24,18.85,1.43,0.61,-0.34,-0.1,-0.39
2016-05-25,18.97,0.72,-0.13,0.57,0.21,-0.1
2016-05-26,18.78,-0.04,-0.16,-0.51,0.17,-0.22
2016-05-27,19.15,0.49,0.36,-0.22,-0.06,-0.09
2016-05-31,19.51,-0.01,0.45,-0.36,-0.17,-0.33
2016-06-01,19.62,0.2,0.64,-0.25,-0.26,0.08
2016-06-02,19.74,0.35,0.25,-0.59,-0.24,-0.08
2016-06-03,19.53,-0.38,-0.18,-0.1,0.53,0.14
2016-06-06,19.65,0.6,0.71,0.32,-0.19,-0.11
2016-06-07,19.6,0.12,0.23,0.11,0.34,0.22
2016-06-08,19.61,0.37,0.43,-0.11,0.05,-0.1
2016-06-09,19.61,-0.27,-0.43,-0.21,0.31,0.13
2016-06-10,19.39,-1.05,-0.38,-0.17,0.16,0.6
2016-06-13,18.7,-0.84,-0.37,0.1,-0.24,-0.04
2016-06-14,18.55,-0.19,0.14,-0.71,0.27,0.03
2016-06-15,18.57,-0.11,0.26,-0.06,-0.05,0.05
2016-06-16,18.52,0.24,-0.31,-0.4,0.28,0.35
2016-06-17,17.82,-0.3,0.07,0.94,0.4,0.62
2016-06-20,18.31,0.71,0.59,-0.01,-0.16,0.12
2016-06-21,18.34,0.21,-0.61,0.5,-0.2,0.0
2016-06-22,18.88,-0.2,-0.3,0.08,0.05,0.0
2016-06-23,19.12,1.45,0.54,0.43,-0.55,-0.2
2016-06-24,18.44,-3.7,0.02,-1.13,0.93,0.1
2016-06-27,18.05,-2.07,-1.06,-0.67,0.52,0.43
2016-06-28,19.06,1.76,-0.38,0.14,-0.61,-0.59
2016-06-29,19.85,1.8,0.31,-0.07,-0.11,-0.24
2016-06-30,20.37,1.42,0.38,0.45,-0.13,0.38
2016-07-01,20.64,0.24,0.47,-0.41,-0.13,0.23
2016-07-05,20.55,-0.85,-0.82,-1.36,0.57,-0.68
2016-07-06,21.58,0.62,0.17,-0.13,-0.11,-0.15
2016-07-07,20.6,0.02,0.34,-0.2,0.21,-0.29
2016-07-08,21.11,1.6,0.94,0.35,0.07,0.27
2016-07-11,21.64,0.43,0.69,0.25,0.3,-0.08
2016-07-12,21.6,0.75,0.73,1.0,-0.63,0.64
2016-07-13,21.65,-0.05,-0.46,0.51,0.54,0.0
2016-07-14,21.85,0.51,-0.42,0.45,-0.04,0.0
2016-07-15,21.84,-0.05,0.29,0.01,-0.3,0.0
2016-07-18,20.77,0.25,0.01,-0.12,0.09,-0.23
2016-07-19,20.95,-0.22,-0.62,0.05,0.47,-0.23
2016-07-20,20.65,0.48,0.39,-0.87,-0.03,-0.35
2016-07-21,21.0,-0.38,-0.08,-0.01,0.0,0.03
2016-07-22,21.03,0.48,0.28,-0.08,0.41,-0.25
2016-07-25,21.5,-0.27,-0.01,-0.24,0.51,-0.39
2016-07-26,21.37,0.13,0.61,0.54,-0.44,0.73
2016-07-27,22.07,-0.14,0.52,-0.42,-0.12,-0.56
2016-07-28,22.53,0.18,-0.45,-0.34,-0.06,-0.14
2016-07-29,22.22,0.17,-0.03,0.04,0.0,0.32
2016-08-01,22.22,-0.16,0.07,-0.87,0.69,-0.73
2016-08-02,22.26,-0.7,-0.63,0.17,-0.54,0.15
2016-08-03,22.92,0.45,0.57,0.83,-0.71,0.15
2016-08-04,22.32,0.05,0.07,-0.33,0.14,0.07
2016-08-05,23.11,0.93,0.56,0.87,-0.5,-0.36
2016-08-08,23.2,-0.06,0.1,0.57,0.0,0.43
2016-08-09,23.18,0.05,-0.05,-0.31,-0.13,-0.21
2016-08-10,22.73,-0.29,-0.45,-0.13,0.71,0.01
2016-08-11,23.35,0.54,0.15,0.04,-0.3,0.16
2016-08-12,22.68,-0.06,0.12,-0.18,-0.19,-0.28
2016-08-15,22.7,0.39,0.79,0.39,-0.27,0.35
2016-08-16,22.3,-0.57,-0.19,0.61,-0.1,0.3
2016-08-17,22.11,0.12,-0.49,0.25,0.08,0.07
2016-08-18,22.09,0.32,0.47,0.37,-0.54,0.33
2016-08-19,22.13,-0.11,0.1,-0.12,0.29,-0.15
2016-08-22,22.24,-0.02,0.22,-0.41,0.02,-0.36
2016-08-23,22.75,0.27,0.55,-0.01,0.03,0.06
2016-08-24,21.86,-0.56,-0.44,0.4,0.38,-0.07
2016-08-25,21.35,-0.08,0.22,0.48,-0.18,0.29
2016-08-26,22.07,-0.15,0.12,-0.13,-0.36,-0.19
2016-08-29,21.83,0.53,0.01,0.35,-0.1,0.21
2016-08-30,21.87,-0.14,0.21,0.31,-0.05,-0.3
2016-08-31,21.38,-0.24,-0.34,0.13,0.27,-0.35
2016-09-01,22.03,0.03,0.06,-0.49,0.15,-0.13
2016-09-02,21.97,0.53,0.42,0.36,-0.16,0.19
2016-09-06,22.19,0.26,0.0,-0.53,-0.71,-0.03
2016-09-07,22.51,0.09,0.6,0.03,-0.1,-0.24
2016-09-08,22.65,-0.18,0.03,0.57,-0.9,0.41
2016-09-09,21.7,-2.47,-0.55,0.31,0.08,-0.43
2016-09-12,22.55,1.44,-0.04,-0.47,-0.07,-0.19
2016-09-13,22.18,-1.48,-0.32,-0.47,0.63,-0.76
2016-09-14,22.57,-0.08,0.05,-0.83,0.14,-0.5
2016-09-15,24.2,1.07,0.3,-0.33,0.08,-0.22
2016-09-16,25.09,-0.36,0.29,-0.45,0.17,-0.21
2016-09-19,24.91,0.05,0.49,0.17,-0.04,0.35
2016-09-20,25.34,-0.02,-0.32,-0.51,-0.44,-0.11
2016-09-21,26.11,1.12,0.2,0.33,-0.37,0.51
2016-09-22,26.02,0.7,0.8,-0.06,0.04,0.14
2016-09-23,26.17,-0.6,-0.06,-0.19,0.51,-0.49
2016-09-26,25.86,-0.88,-0.29,-0.35,-0.19,0.19
2016-09-27,26.58,0.64,-0.13,-0.53,0.04,-0.4
2016-09-28,26.68,0.56,0.21,1.1,-1.19,1.12
2016-09-29,24.63,-0.98,-0.39,0.54,0.25,0.67
2016-09-30,24.73,0.88,0.42,0.35,-0.2,0.1
2016-10-03,23.75,-0.26,-0.04,-0.13,-0.02,0.14
2016-10-04,23.52,-0.46,0.05,0.09,0.17,-0.3
2016-10-05,24.18,0.58,0.4,0.78,-0.46,0.44
2016-10-06,23.84,-0.06,-0.22,0.37,0.42,0.23
2016-10-07,23.78,-0.38,-0.53,0.16,-0.21,-0.38
2016-10-10,24.69,0.52,0.55,0.01,-0.63,-0.21
